fid,oracle_choice
1,fixed:best/1
2,fixed:current-to-best/1
3,fixed:best/1
4,fixed:best/1
5,fixed:current-to-pbest/1
6,fixed:best/1
7,fixed:current-to-best/1
8,fixed:current-to-pbest/1
9,fixed:current-to-best/1
10,fixed:current-to-best/1
11,fixed:current-to-best/1
12,fixed:current-to-best/1
13,fixed:current-to-best/1
14,fixed:best/1
15,fixed:best/1
16,fixed:best/1
17,fixed:current-to-best/1
18,fixed:current-to-best/1
19,fixed:current-to-pbest/1
20,fixed:current-to-best/1
21,fixed:rand/1
22,fixed:current-to-best/1
23,fixed:current-to-pbest/1
24,fixed:current-to-best/1
